date,round,venue,championDataId,squiggleId,playerGuernsey,teamAbbr,position,givenName,surname,disposalLine
28/06/2024,16,Gabba,CD_I1027949,13158,41,MELB,SUB,Kynan,Brown,
28/06/2024,16,Gabba,CD_I1020959,12998,42,MELB,INT,Daniel,Turner,
28/06/2024,16,Gabba,CD_I1013165,,45,MELB,HBFL,Andy,Moniz-Wakefield,
29/06/2024,16,Adelaide Oval,CD_I1006203,12697,1,ADEL,EMERG,Chayce,Jones,
29/06/2024,16,Adelaide Oval,CD_I993946,12441,2,ADEL,HFFL,Ben,Keays,
29/06/2024,16,Adelaide Oval,CD_I1012807,12855,3,ADEL,R,Sam,Berry,
29/06/2024,16,Adelaide Oval,CD_I1000998,12592,4,ADEL,INT,Lachlan,Murphy,
29/06/2024,16,Adelaide Oval,CD_I1017051,12957,8,ADEL,HFFR,Josh,Rachele,
29/06/2024,16,Adelaide Oval,CD_I992242,12519,12,ADEL,C,Jordan,Dawson,
29/06/2024,16,Adelaide Oval,CD_I280506,11724,13,ADEL,FF,Taylor,Walker,
29/06/2024,16,Adelaide Oval,CD_I1017109,12956,14,ADEL,INT,Jake,Soligo,
29/06/2024,16,Adelaide Oval,CD_I1018335,12936,15,ADEL,INT,Brayden,Cook,
29/06/2024,16,Adelaide Oval,CD_I1015370,13038,16,ADEL,HBFL,Max,Michalanney,
29/06/2024,16,Adelaide Oval,CD_I1008159,12783,17,ADEL,HBFR,Will,Hamill,
29/06/2024,16,Adelaide Oval,CD_I1017065,,19,ADEL,SUB,Zac,Taylor,
29/06/2024,16,Adelaide Oval,CD_I1004863,12725,20,ADEL,BPR,Mitchell,Hinge,
29/06/2024,16,Adelaide Oval,CD_I1001195,12797,23,ADEL,FPL,Izak,Rankine,
29/06/2024,16,Adelaide Oval,CD_I1021031,13084,27,ADEL,INT,Luke,Nankervis,
29/06/2024,16,Adelaide Oval,CD_I1008230,12875,28,ADEL,BPL,Nick,Murray,
29/06/2024,16,Adelaide Oval,CD_I293222,12171,29,ADEL,RR,Rory,Laird,
29/06/2024,16,Adelaide Oval,CD_I1015329,13151,31,ADEL,WL,Billy,Dowling,
29/06/2024,16,Adelaide Oval,CD_I999331,12591,32,ADEL,CHF,Darcy,Fogarty,
29/06/2024,16,Adelaide Oval,CD_I1005199,12683,34,ADEL,FPR,Elliott,Himmelberg,
29/06/2024,16,Adelaide Oval,CD_I1009029,13088,35,ADEL,EMERG,James,Borlase,
29/06/2024,16,Adelaide Oval,CD_I1006136,12818,38,ADEL,WR,Lachlan,Sholl,
29/06/2024,16,Adelaide Oval,CD_I1004995,12832,41,ADEL,FB,Jordon,Butts,
29/06/2024,16,Adelaide Oval,CD_I297523,12483,43,ADEL,RK,Reilly,O'Brien,
29/06/2024,16,Adelaide Oval,CD_I1018075,12942,44,ADEL,EMERG,Lachlan,Gollant,
29/06/2024,16,Adelaide Oval,CD_I1013974,12813,48,ADEL,CHB,Mark,Keane,
29/06/2024,16,Adelaide Oval,CD_I291969,12023,3,GWS,RR,Stephen,Coniglio,
29/06/2024,16,Adelaide Oval,CD_I295344,12026,4,GWS,FPL,Toby,Greene,
29/06/2024,16,Adelaide Oval,CD_I294305,12147,6,GWS,HBFL,Lachie,Whitfield,
29/06/2024,16,Adelaide Oval,CD_I1009253,12782,7,GWS,HBFR,Lachie,Ash,
29/06/2024,16,Adelaide Oval,CD_I280109,11683,8,GWS,WL,Callan,Ward,
29/06/2024,16,Adelaide Oval,CD_I1015777,13002,9,GWS,EMERG,Ryan,Angwin,
29/06/2024,16,Adelaide Oval,CD_I1009528,12766,12,GWS,C,Tom,Green,
29/06/2024,16,Adelaide Oval,CD_I1001396,12635,13,GWS,WR,Isaac,Cumming,
29/06/2024,16,Adelaide Oval,CD_I1008139,12773,14,GWS,FPR,Toby,Bedford,
29/06/2024,16,Adelaide Oval,CD_I1002251,12663,16,GWS,HFFL,Brent,Daniels,
29/06/2024,16,Adelaide Oval,CD_I1023266,12970,17,GWS,R,Finn,Callaghan,
29/06/2024,16,Adelaide Oval,CD_I1006013,12934,20,GWS,EMERG,James,Peatling,
29/06/2024,16,Adelaide Oval,CD_I1008691,13018,21,GWS,CHB,Leek,Aleer,
29/06/2024,16,Adelaide Oval,CD_I296347,12262,22,GWS,INT,Josh,Kelly,
29/06/2024,16,Adelaide Oval,CD_I296324,12326,23,GWS,FF,Jesse,Hogan,
29/06/2024,16,Adelaide Oval,CD_I1008123,12835,26,GWS,CHF,Jake,Riccardi,
29/06/2024,16,Adelaide Oval,CD_I993107,12470,27,GWS,INT,Harry,Himmelberg,
29/06/2024,16,Adelaide Oval,CD_I1027925,13101,28,GWS,INT,Harvey,Thomas,
29/06/2024,16,Adelaide Oval,CD_I1027971,13089,31,GWS,SUB,Toby,McMullin,
29/06/2024,16,Adelaide Oval,CD_I1008436,12905,32,GWS,RK,Kieren,Briggs,
29/06/2024,16,Adelaide Oval,CD_I1006135,12822,33,GWS,EMERG,Xavier,O'Halloran,
29/06/2024,16,Adelaide Oval,CD_I1027921,13156,35,GWS,INT,Max,Gruzewski,
29/06/2024,16,Adelaide Oval,CD_I998205,12541,36,GWS,BPR,Harry,Perryman,
29/06/2024,16,Adelaide Oval,CD_I1008083,12749,39,GWS,BPL,Connor,Idun,
29/06/2024,16,Adelaide Oval,CD_I1009708,12845,44,GWS,FB,Jack,Buckley,
29/06/2024,16,Adelaide Oval,CD_I1014038,12910,46,GWS,HFFR,Callum M.,Brown,
29/06/2024,16,Marvel Stadium,CD_I1023518,13030,3,NMFC,CHB,Harry,Sheezel,
29/06/2024,16,Marvel Stadium,CD_I294508,12185,4,NMFC,BPL,Aidan,Corr,
29/06/2024,16,Marvel Stadium,CD_I1006137,12722,5,NMFC,INT,Curtis,Taylor,
29/06/2024,16,Marvel Stadium,CD_I1006058,12705,8,NMFC,WR,Bailey,Scott,
29/06/2024,16,Marvel Stadium,CD_I1002267,12599,9,NMFC,C,Luke,Davies-Uniacke,
29/06/2024,16,Marvel Stadium,CD_I296355,12246,11,NMFC,HBFR,Luke,McDonald,
29/06/2024,16,Marvel Stadium,CD_I993998,12511,12,NMFC,R,Jy,Simpkin,
29/06/2024,16,Marvel Stadium,CD_I993816,12434,13,NMFC,WL,Darcy,Tucker,
29/06/2024,16,Marvel Stadium,CD_I280737,11766,14,NMFC,RR,Liam,Shiels,
29/06/2024,16,Marvel Stadium,CD_I1004848,12798,15,NMFC,SUB,Dylan,Stephens,
29/06/2024,16,Marvel Stadium,CD_I999827,12528,16,NMFC,INT,Zac,Fisher,
29/06/2024,16,Marvel Stadium,CD_I1023625,13129,17,NMFC,EMERG,Riley,Hardeman,
29/06/2024,16,Marvel Stadium,CD_I1001017,12569,20,NMFC,FF,Nick,Larkey,
29/06/2024,16,Marvel Stadium,CD_I1011659,12867,24,NMFC,INT,Tom,Powell,
29/06/2024,16,Marvel Stadium,CD_I1002947,12975,25,NMFC,FPL,Paul,Curtis,
29/06/2024,16,Marvel Stadium,CD_I1012829,12878,29,NMFC,HFFR,Will,Phillips,
29/06/2024,16,Marvel Stadium,CD_I1015781,12939,30,NMFC,FB,Charlie,Comben,
29/06/2024,16,Marvel Stadium,CD_I1002138,13106,32,NMFC,BPR,Toby,Pink,
29/06/2024,16,Marvel Stadium,CD_I1020968,13005,34,NMFC,HBFL,Jackson,Archer,
29/06/2024,16,Marvel Stadium,CD_I1031819,13126,36,NMFC,EMERG,Tyler,Sellers,
29/06/2024,16,Marvel Stadium,CD_I1004965,12789,38,NMFC,RK,Tristan,Xerri,
29/06/2024,16,Marvel Stadium,CD_I1012833,12923,40,NMFC,INT,Eddie,Ford,
29/06/2024,16,Marvel Stadium,CD_I1012144,13021,42,NMFC,HFFL,Kallan,Dawson,
29/06/2024,16,Marvel Stadium,CD_I1007591,13000,43,NMFC,CHF,Brynn,Teakle,
29/06/2024,16,Marvel Stadium,CD_I998484,12566,44,NMFC,FPR,Cameron,Zurhaar,
29/06/2024,16,Marvel Stadium,CD_I1023144,13086,46,NMFC,EMERG,Robert,Hansen Jr,
29/06/2024,16,Marvel Stadium,CD_I291790,12058,1,WB,C,Adam,Treloar,
29/06/2024,16,Marvel Stadium,CD_I1009301,12924,2,WB,FPL,Jamarra,Ugle-Hagan,
29/06/2024,16,Marvel Stadium,CD_I1011803,12801,3,WB,HFFL,Cody,Weightman,
29/06/2024,16,Marvel Stadium,CD_I297373,12277,4,WB,FF,Marcus,Bontempelli,
29/06/2024,16,Marvel Stadium,CD_I990740,12289,7,WB,WL,Rory,Lobb,
29/06/2024,16,Marvel Stadium,CD_I1017939,13111,9,WB,WR,Ryley,Sanders,
29/06/2024,16,Marvel Stadium,CD_I1017126,13023,10,WB,HFFR,Sam,Darcy,
29/06/2024,16,Marvel Stadium,CD_I295467,12172,11,WB,INT,Jack,Macrae,
29/06/2024,16,Marvel Stadium,CD_I1017087,13110,12,WB,INT,Harvey,Gallagher,
29/06/2024,16,Marvel Stadium,CD_I1008855,12723,13,WB,SUB,Oskar,Baker,
29/06/2024,16,Marvel Stadium,CD_I1006127,12748,14,WB,FPR,Rhylee,West,
29/06/2024,16,Marvel Stadium,CD_I290085,12169,15,WB,BPL,Taylor,Duryea,
29/06/2024,16,Marvel Stadium,CD_I1032966,13063,18,WB,CHB,James,O'Donnell,
29/06/2024,16,Marvel Stadium,CD_I281078,11874,19,WB,FB,Liam,Jones,
29/06/2024,16,Marvel Stadium,CD_I1008280,12612,20,WB,RR,Ed,Richards,
29/06/2024,16,Marvel Stadium,CD_I290799,11904,21,WB,R,Tom,Liberatore,
29/06/2024,16,Marvel Stadium,CD_I1005000,12781,23,WB,INT,Laitham,Vandermeer,
29/06/2024,16,Marvel Stadium,CD_I998782,12901,24,WB,EMERG,Buku,Khamis,
29/06/2024,16,Marvel Stadium,CD_I1027704,13140,27,WB,INT,Joel,Freijah,
29/06/2024,16,Marvel Stadium,CD_I992048,12852,28,WB,EMERG,Anthony,Scott,
29/06/2024,16,Marvel Stadium,CD_I1000864,12917,29,WB,HBFL,Lachlan,Bramble,
29/06/2024,16,Marvel Stadium,CD_I996708,12362,31,WB,HBFR,Bailey,Dale,
29/06/2024,16,Marvel Stadium,CD_I1002404,12602,33,WB,CHF,Aaron,Naughton,
29/06/2024,16,Marvel Stadium,CD_I992351,12449,34,WB,BPR,Bailey,Williams,
29/06/2024,16,Marvel Stadium,CD_I295136,12382,35,WB,EMERG,Caleb,Daniel,
29/06/2024,16,Marvel Stadium,CD_I1004592,12548,44,WB,RK,Tim,English,
29/06/2024,16,MCG,CD_I998102,12505,1,ESS,HBFR,Andrew,McGrath,
29/06/2024,16,MCG,CD_I1005577,12809,2,ESS,RK,Sam,Draper,
29/06/2024,16,MCG,CD_I298630,12358,4,ESS,FPR,Kyle,Langford,
29/06/2024,16,MCG,CD_I1006103,12752,6,ESS,RR,Jye,Caldwell,
29/06/2024,16,MCG,CD_I992016,12249,7,ESS,R,Zach,Merrett,
29/06/2024,16,MCG,CD_I1017088,12972,8,ESS,EMERG,Ben,Hobbs,
29/06/2024,16,MCG,CD_I298421,12422,11,ESS,WL,Jade,Gresham,
29/06/2024,16,MCG,CD_I1015827,12858,13,ESS,SUB,Nik,Cox,
29/06/2024,16,MCG,CD_I1001026,12640,14,ESS,BPL,Jordan,Ridley,
29/06/2024,16,MCG,CD_I298280,12384,15,ESS,BPR,Jayden,Laverde,
29/06/2024,16,MCG,CD_I1015873,12880,16,ESS,WR,Archie,Perkins,
29/06/2024,16,MCG,CD_I271129,11692,17,ESS,INT,Todd,Goldstein,
29/06/2024,16,MCG,CD_I297452,12734,19,ESS,HFFR,Nick,Hind,
29/06/2024,16,MCG,CD_I298289,12371,20,ESS,FF,Peter,Wright,
29/06/2024,16,MCG,CD_I290629,11903,21,ESS,FPL,Dyson,Heppell,
29/06/2024,16,MCG,CD_I1015810,12926,22,ESS,C,Sam,Durham,
29/06/2024,16,MCG,CD_I1011755,12857,23,ESS,CHF,Harrison,Jones,
29/06/2024,16,MCG,CD_I293884,12173,25,ESS,INT,Jake,Stringer,
29/06/2024,16,MCG,CD_I997078,12445,27,ESS,CHB,Mason,Redman,
29/06/2024,16,MCG,CD_I1006096,12695,28,ESS,INT,Xavier,Duursma,
29/06/2024,16,MCG,CD_I1027899,13149,30,ESS,EMERG,Nate,Caddy,
29/06/2024,16,MCG,CD_I1002143,12588,32,ESS,FB,Ben,McKay,
29/06/2024,16,MCG,CD_I1017933,13040,33,ESS,EMERG,Alwyn,Davey Jnr,
29/06/2024,16,MCG,CD_I996232,12619,35,ESS,HFFL,Matt,Guelfi,
29/06/2024,16,MCG,CD_I1012013,12950,37,ESS,HBFL,Nic,Martin,
29/06/2024,16,MCG,CD_I1013201,13020,47,ESS,INT,Jye,Menzie,
29/06/2024,16,MCG,CD_I280317,11855,1,GEEL,EMERG,Rhys,Stanley,
29/06/2024,16,MCG,CD_I292511,11979,2,GEEL,WL,Zach,Tuohy,
29/06/2024,16,MCG,CD_I298419,12513,3,GEEL,EMERG,Brandan,Parfitt,
29/06/2024,16,MCG,CD_I293845,12022,5,GEEL,CHF,Jeremy,Cameron,
29/06/2024,16,MCG,CD_I296291,12378,8,GEEL,BPR,Jake,Kolodjashnij,
29/06/2024,16,MCG,CD_I1015889,12882,9,GEEL,C,Max,Holmes,
29/06/2024,16,MCG,CD_I1021103,12985,10,GEEL,HFFL,Mitch,Knevitt,
29/06/2024,16,MCG,CD_I998260,12507,12,GEEL,INT,Jack,Bowes,
29/06/2024,16,MCG,CD_I1023537,13062,13,GEEL,INT,Jhye,Clark,
29/06/2024,16,MCG,CD_I1027877,13125,14,GEEL,EMERG,Connor,O'Sullivan,
29/06/2024,16,MCG,CD_I1009229,12892,16,GEEL,FB,Sam,De Koning,
29/06/2024,16,MCG,CD_I1013464,,17,GEEL,INT,Lawson,Humphries,
29/06/2024,16,MCG,CD_I997230,12561,18,GEEL,FPL,Tyson,Stengle,
29/06/2024,16,MCG,CD_I281065,11804,22,GEEL,HBFL,Mitch,Duncan,
29/06/2024,16,MCG,CD_I291357,11849,23,GEEL,FPR,Gary,Rohan,
29/06/2024,16,MCG,CD_I1025034,12976,28,GEEL,WR,Oliver,Dempsey,
29/06/2024,16,MCG,CD_I994386,12687,30,GEEL,R,Tom,Atkins,
29/06/2024,16,MCG,CD_I1004938,12690,32,GEEL,HFFR,Gryan,Miers,
29/06/2024,16,MCG,CD_I1016433,12995,33,GEEL,FF,Shannon,Neale,
29/06/2024,16,MCG,CD_I270917,11706,35,GEEL,RR,Patrick,Dangerfield,
29/06/2024,16,MCG,CD_I1000937,12614,38,GEEL,BPL,Jack,Henry,
29/06/2024,16,MCG,CD_I1004870,12559,39,GEEL,HBFR,Zach,Guthrie,
29/06/2024,16,MCG,CD_I1007102,12540,42,GEEL,SUB,Mark,O'Connor,
29/06/2024,16,MCG,CD_I291800,12514,44,GEEL,CHB,Tom,Stewart,
29/06/2024,16,MCG,CD_I999326,12808,45,GEEL,INT,Brad,Close,
29/06/2024,16,MCG,CD_I296733,12160,46,GEEL,RK,Mark,Blicavs,
29/06/2024,16,People First Stadium,CD_I1003130,12586,1,COLL,FF,Patrick,Lipinski,
29/06/2024,16,People First Stadium,CD_I994185,12333,2,COLL,R,Jordan,De Goey,
29/06/2024,16,People First Stadium,CD_I1008089,12740,3,COLL,BPR,Isaac,Quaynor,
29/06/2024,16,People First Stadium,CD_I992010,12380,4,COLL,BPL,Brayden,Maynard,
29/06/2024,16,People First Stadium,CD_I1005054,12582,7,COLL,WR,Josh,Daicos,
29/06/2024,16,People First Stadium,CD_I1000072,12743,9,COLL,HBFR,John,Noble,
29/06/2024,16,People First Stadium,CD_I260257,11506,10,COLL,C,Scott,Pendlebury,
29/06/2024,16,People First Stadium,CD_I990291,12666,14,COLL,RK,Darcy,Cameron,
29/06/2024,16,People First Stadium,CD_I997254,12931,15,COLL,INT,Nathan,Kreuger,
29/06/2024,16,People First Stadium,CD_I991773,12682,17,COLL,FPR,Billy,Frampton,
29/06/2024,16,People First Stadium,CD_I1012828,12889,18,COLL,EMERG,Finlay,Macrae,
29/06/2024,16,People First Stadium,CD_I1032017,13154,19,COLL,EMERG,Tew,Jiath,
29/06/2024,16,People First Stadium,CD_I280965,11759,22,COLL,WL,Steele,Sidebottom,
29/06/2024,16,People First Stadium,CD_I1006148,12744,23,COLL,HFFL,Bobby,Hill,
29/06/2024,16,People First Stadium,CD_I293871,12067,25,COLL,RR,Jack,Crisp,
29/06/2024,16,People First Stadium,CD_I1008239,13141,29,COLL,SUB,Joe,Richards,
29/06/2024,16,People First Stadium,CD_I298288,12381,30,COLL,FB,Darcy,Moore,
29/06/2024,16,People First Stadium,CD_I1004757,12877,31,COLL,FPL,Beau,McCreery,
29/06/2024,16,People First Stadium,CD_I291720,12029,32,COLL,HBFL,Will,Hoskin-Elliott,
29/06/2024,16,People First Stadium,CD_I998480,13134,33,COLL,INT,Lachlan,Sullivan,
29/06/2024,16,People First Stadium,CD_I1023261,12948,35,COLL,HFFR,Nick,Daicos,
29/06/2024,16,People First Stadium,CD_I1015332,13070,36,COLL,INT,Harvey,Harrison,
29/06/2024,16,People First Stadium,CD_I298358,12468,37,COLL,INT,Oleg,Markov,
29/06/2024,16,People First Stadium,CD_I291313,11973,38,COLL,CHB,Jeremy,Howe,
29/06/2024,16,People First Stadium,CD_I291849,12648,41,COLL,CHF,Brody,Mihocek,
29/06/2024,16,People First Stadium,CD_I1009197,13102,43,COLL,EMERG,Charlie,Dean,
29/06/2024,16,People First Stadium,CD_I1009260,12825,3,GCFC,HBFL,Sam,Flanders,
29/06/2024,16,People First Stadium,CD_I294643,12086,6,GCFC,INT,Alex,Sexton,
29/06/2024,16,People First Stadium,CD_I297456,12314,7,GCFC,WL,Nick,Holman,
29/06/2024,16,People First Stadium,CD_I993799,12489,8,GCFC,EMERG,Brayden,Fiorini,
29/06/2024,16,People First Stadium,CD_I998130,12506,9,GCFC,HFFR,Ben,Ainsworth,
29/06/2024,16,People First Stadium,CD_I1008882,12631,10,GCFC,BPR,Charlie,Ballard,
29/06/2024,16,People First Stadium,CD_I298272,12329,11,GCFC,C,Touk,Miller,
29/06/2024,16,People First Stadium,CD_I291753,11952,12,GCFC,INT,Sam,Day,
29/06/2024,16,People First Stadium,CD_I1004095,12703,13,GCFC,FPR,Jack,Lukosius,
29/06/2024,16,People First Stadium,CD_I1009199,12767,15,GCFC,RR,Noah,Anderson,
29/06/2024,16,People First Stadium,CD_I1006100,12776,16,GCFC,INT,Thomas,Berry,
29/06/2024,16,People First Stadium,CD_I1009208,12769,18,GCFC,R,Matt,Rowell,
29/06/2024,16,People First Stadium,CD_I1023500,13050,19,GCFC,SUB,Bailey,Humphrey,
29/06/2024,16,People First Stadium,CD_I993917,12529,22,GCFC,FPL,Ben,Long,
29/06/2024,16,People First Stadium,CD_I294013,12242,23,GCFC,EMERG,Sean,Lemmens,
29/06/2024,16,People First Stadium,CD_I290832,11923,24,GCFC,HFFL,David,Swallow,
29/06/2024,16,People First Stadium,CD_I295446,12453,25,GCFC,BPL,Sam,Collins,
29/06/2024,16,People First Stadium,CD_I1026960,13120,26,GCFC,INT,Will,Graham,
29/06/2024,16,People First Stadium,CD_I1007881,12658,27,GCFC,CHB,Wil,Powell,
29/06/2024,16,People First Stadium,CD_I291975,12184,28,GCFC,RK,Jarrod,Witts,
29/06/2024,16,People First Stadium,CD_I1017396,13019,31,GCFC,FB,Mac,Andrew,
29/06/2024,16,People First Stadium,CD_I1017665,13037,32,GCFC,HBFR,Bodhi,Uwland,
29/06/2024,16,People First Stadium,CD_I1013257,13119,33,GCFC,WR,Sam,Clohesy,
29/06/2024,16,People First Stadium,CD_I1006144,12728,34,GCFC,FF,Ben,King,
29/06/2024,16,People First Stadium,CD_I1005992,12932,40,GCFC,CHF,Joel,Jeffrey,
29/06/2024,16,People First Stadium,CD_I996464,12446,44,GCFC,EMERG,Darcy,Macpherson,
29/06/2024,16,SCG,CD_I1013611,12764,1,FRE,HFFL,Sam,Sturt,
29/06/2024,16,SCG,CD_I294613,12149,2,FRE,WR,Jaeger,O'Meara,
29/06/2024,16,SCG,CD_I1009420,12786,3,FRE,RR,Caleb,Serong,
29/06/2024,16,SCG,CD_I998145,12555,4,FRE,RK,Sean,Darcy,
29/06/2024,16,SCG,CD_I1013224,12876,5,FRE,BPL,Heath,Chapman,
29/06/2024,16,SCG,CD_I1006152,12688,6,FRE,HBFR,Jordan,Clark,
29/06/2024,16,SCG,CD_I291570,11844,7,FRE,C,Nat,Fyfe,
29/06/2024,16,SCG,CD_I1002232,12596,8,FRE,R,Andrew,Brayshaw,
29/06/2024,16,SCG,CD_I1009399,12779,9,FRE,CHF,Luke,Jackson,
29/06/2024,16,SCG,CD_I295067,12252,11,FRE,SUB,James,Aish,
29/06/2024,16,SCG,CD_I1022927,13159,12,FRE,BPR,Hugh,Davies,
29/06/2024,16,SCG,CD_I998659,12550,13,FRE,CHB,Luke,Ryan,
29/06/2024,16,SCG,CD_I1009380,12821,14,FRE,WL,Jeremy,Sharp,
29/06/2024,16,SCG,CD_I996580,12406,15,FRE,EMERG,Ethan,Hughes,
29/06/2024,16,SCG,CD_I1020594,12983,24,FRE,FF,Jye,Amiss,
29/06/2024,16,SCG,CD_I1009256,12777,26,FRE,INT,Hayden,Young,
29/06/2024,16,SCG,CD_I1020250,12967,28,FRE,EMERG,Neil,Erasmus,
29/06/2024,16,SCG,CD_I1009410,12915,31,FRE,HBFL,Brandon,Walker,
29/06/2024,16,SCG,CD_I999321,12803,32,FRE,HFFR,Michael,Frederick,
29/06/2024,16,SCG,CD_I993940,12461,34,FRE,INT,Corey,Wagner,
29/06/2024,16,SCG,CD_I1012819,12888,35,FRE,FPL,Josh,Treacy,
29/06/2024,16,SCG,CD_I1020668,13113,37,FRE,FB,Joshua,Draper,
29/06/2024,16,SCG,CD_I1017754,13132,38,FRE,EMERG,Patrick,Voss,
29/06/2024,16,SCG,CD_I992059,12679,39,FRE,FPR,Sam,Switkowski,
29/06/2024,16,SCG,CD_I998180,12595,41,FRE,INT,Bailey,Banfield,
29/06/2024,16,SCG,CD_I1016825,13049,44,FRE,INT,Matthew,Johnson,
29/06/2024,16,SCG,CD_I1012014,12799,1,SYD,C,Chad,Warner,
29/06/2024,16,SCG,CD_I1003203,12745,2,SYD,INT,Hayden,McLean,
29/06/2024,16,SCG,CD_I291776,12070,3,SYD,HFFR,Taylor,Adams,
29/06/2024,16,SCG,CD_I293957,12223,4,SYD,RK,Brodie,Grundy,
29/06/2024,16,SCG,CD_I298539,12331,5,SYD,RR,Isaac,Heeney,
29/06/2024,16,SCG,CD_I1013230,12863,6,SYD,CHF,Logan,McDonald,
29/06/2024,16,SCG,CD_I291978,12038,7,SYD,INT,Harry,Cunningham,
29/06/2024,16,SCG,CD_I1006126,12715,8,SYD,R,James,Rowbottom,
29/06/2024,16,SCG,CD_I997100,12516,9,SYD,FPR,Will,Hayward,
29/06/2024,16,SCG,CD_I990816,12475,10,SYD,EMERG,Aaron,Francis,
29/06/2024,16,SCG,CD_I996765,12419,11,SYD,FPL,Tom,Papley,
29/06/2024,16,SCG,CD_I998103,12501,13,SYD,HBFL,Oliver,Florent,
29/06/2024,16,SCG,CD_I1006232,12820,15,SYD,INT,Sam,Wicks,
