tournament,timestamp,date_GMT,status,stadium_name,attendance,home_team_name,away_team_name,referee,Game Week,home_team_pre_match_ppg,away_team_pre_match_ppg,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,home_team_xg,away_team_xg
Friendly,1599141600,Sep 03 2020 - 2:00pm,complete,Stadion Lokomotiv (Toshkent (Tashkent)),,Uzbekistan,Tajikistan,,,0,0,1,0,2,1,3,1,1,0,33;67,48,9,2,1,0,2,0,0,1,2,0,8,2,4,0,4,2,19,13,50,50,1.19,0.35
UEFA Nations League,1599148800,Sep 03 2020 - 4:00pm,complete,Daugavas StadionÄ (RÄ«ga (Riga)),,Latvia,Andorra,Timotheos Christofi,1,0,0,1.17,0.33,0,0,0,0,0,0,,,4,1,0,1,5,0,0,1,2,3,15,5,5,0,10,5,16,11,62,38,1.88,0.64
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Mercedes-Benz-Arena (Stuttgart),,Germany,Spain,Daniele Orsato,1,0,0,1.5,1.83,1,1,2,0,0,0,51,90+5,6,4,0,0,0,0,0,0,0,0,11,12,8,6,3,6,12,10,44,56,1.46,1.79
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Arena L'viv (L'viv),,Ukraine,Switzerland,Andreas Ekberg,1,0,0,1,1,2,1,3,2,1,1,14;68,41,2,5,1,0,2,0,0,1,0,2,10,10,2,3,8,7,7,16,36,64,0.91,1.38
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,VTB Arena (Moskva),,Russia,Serbia,William Collum,1,0,0,1.33,1,3,1,4,0,0,0,48;69;81,78,3,4,0,0,2,0,0,0,0,2,3,13,2,5,1,8,18,9,49,51,0.72,1.45
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Yeni Sivas 4 EylÃ¼l Stadyumu (Sivas),,Turkey,Hungary,Artur Manuel Ribeiro Soares Dias,1,0,0,1,1.83,0,1,1,0,0,0,,80,3,5,2,0,3,0,1,1,1,2,8,8,5,5,3,3,14,19,58,42,1.1,1.16
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Stadion Vasil Levski (Sofia),,Bulgaria,Republic of Ireland,Manuel SchÃ¼ttengruber,1,0,0,0.33,0.5,1,1,2,0,0,0,56,90+3,1,5,0,0,1,0,0,0,1,0,9,11,5,3,4,8,15,16,33,67,1.02,1.33
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Helsingin olympiastadion (Helsinki (Helsingfors)),,Finland,Wales,Daniel Siebert,1,0,0,2,2.67,0,1,1,0,0,0,,80,3,0,3,0,4,0,1,2,1,3,2,3,0,0,2,3,14,13,50,50,0.43,0.49
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Stadio Ennio Tardini (Parma),,Moldova,Kosovo,Kai Erik Steen,1,0,0,0.17,0.83,1,1,2,1,1,0,19,71,1,6,1,0,1,0,1,0,1,0,4,21,3,6,1,15,,,52,48,0.69,2.43
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,Stadion StoÅ¾ice (Ljubljana),,Slovenia,Greece,Bobby Madden,1,0,0,2.33,2,0,0,0,0,0,0,,,2,6,3,0,1,0,0,3,0,1,5,14,3,9,2,5,17,12,38,62,0.69,2
UEFA Nations League,1599158700,Sep 03 2020 - 6:45pm,complete,TÃ³rsvÃ¸llur (TÃ³rshavn- Streymoy),,Faroe Islands,Malta,Adam Farkas,1,0,0,2,1.5,3,2,5,2,1,1,25;87;90,37;73,4,7,3,0,2,0,0,3,0,2,9,6,5,6,4,0,13,20,57,43,1.49,1.26
UEFA Nations League,1599235200,Sep 04 2020 - 4:00pm,complete,Vilniaus LFF stadionas (Vilnius),,Lithuania,Kazakhstan,Rade ObrenoviÄ‡,1,0,0,1.33,0.67,0,2,2,1,0,1,,3;86,3,2,4,0,2,0,3,1,0,2,14,8,5,4,9,4,13,16,56,44,1.59,1.07
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Stadio Artemio Franchi (Firenze),,Italy,Bosnia-Herzegovina,Anastasios Sidiropoulos,1,0,0,2,0.33,1,1,2,0,0,0,67,57,7,2,3,0,2,0,0,3,0,2,13,7,5,4,8,3,7,12,62,38,1.61,0.88
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Johan Cruijff Arena (Amsterdam),,Netherlands,Poland,Georgi Kabakov,1,0,0,1.83,1.17,1,0,1,0,0,0,61,,5,4,3,0,5,0,0,3,2,3,11,3,4,2,7,1,14,25,68,32,1.71,0.5
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Ullevaal Stadion (Oslo),,Norway,Austria,Mattias Gestranius,1,0,0,1.67,2.17,1,2,3,1,0,1,66,35;54,1,4,4,0,2,0,0,4,0,2,3,11,0,6,3,5,14,12,46,54,0.42,1.55
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Arena NaÅ£ionalÄƒ (BucureÅŸti),,Romania,Northern Ireland,FranÃ§ois Letexier,1,0,0,1.33,0.33,1,1,2,1,1,0,25,86,4,0,2,0,2,1,1,1,3,0,13,5,7,4,6,1,19,19,67,33,1.69,0.81
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Hampden Park (Glasgow),,Scotland,Israel,Slavko VinÄiÄ‡,1,0,0,1.67,1.33,1,1,2,1,1,0,45,73,5,4,1,0,1,0,1,0,1,0,6,4,2,4,4,0,13,10,46,54,0.91,0.81
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Å tadiÃ³n TehelnÃ© pole (Bratislava),,Slovakia,Czech Republic,Andris Treimanis,1,0,0,0.67,2,1,3,4,0,0,0,88,48;53;86,0,6,3,0,1,0,0,3,1,0,4,17,2,3,2,14,19,22,30,70,0.5,1.89
UEFA Nations League,1599245100,Sep 04 2020 - 6:45pm,complete,Stadyen Dynama (Minsk),,Belarus,Albania,Kristoffer Karlsson,1,0,0,1.67,1.83,0,2,2,1,0,1,,23;78,4,3,1,0,1,0,0,1,0,1,6,8,5,3,1,5,14,10,50,50,1,1.05
UEFA Nations League,1599310800,Sep 05 2020 - 1:00pm,complete,ToÅ¡e Proeski Arena (Skopje),,North Macedonia,Armenia,Irfan Peljto,1,0,0,1.5,1.83,2,1,3,2,2,0,5;38,90+4,1,13,2,0,3,0,0,2,2,1,8,14,4,6,4,8,13,16,47,53,1.13,1.73
UEFA Nations League,1599310800,Sep 05 2020 - 1:00pm,complete,Victoria Stadium (Gibraltar),,Gibraltar,San Marino,Aleksandrs Anufrijevs,1,0,0,2,0.5,1,0,1,1,1,0,42,,3,0,1,0,2,0,0,1,1,1,14,6,4,0,10,6,13,20,52,48,1.54,0.52
UEFA Nations League,1599321600,Sep 05 2020 - 4:00pm,complete,LaugardalsvÃ¶llur (ReykjavÃ­k),,Iceland,England,SrÄ‘an JovanoviÄ‡,1,0,0,0,1.67,0,1,1,0,0,0,,90+1,1,7,1,1,2,1,1,1,1,2,2,8,0,5,2,3,11,7,28,72,0.31,1.39
UEFA Nations League,1599321600,Sep 05 2020 - 4:00pm,complete,BakÄ± Olimpiya Stadionu (Baku),,Azerbaijan,Luxembourg,Chris Kavanagh,1,0,0,1,1.67,1,2,3,1,1,0,43,48;72,0,9,3,1,0,0,1,3,0,0,2,11,2,6,0,5,17,11,36,64,0.37,1.71
UEFA Nations League,1599321600,Sep 05 2020 - 4:00pm,complete,Neo GSP (NicosÃ­a (LevkosÃ­a)),,Cyprus,Montenegro,Harm Osmers,1,0,0,0.67,2.17,0,2,2,0,0,0,,60;73,1,6,3,0,4,0,0,3,1,3,9,7,3,2,6,5,15,12,41,59,1.04,0.9
UEFA Nations League,1599321600,Sep 05 2020 - 4:00pm,complete,A. Le Coq Arena (Tallinn),,Estonia,Georgia,Donatas RumÅ¡as,1,0,0,0.5,1.17,0,1,1,1,0,1,,32,3,5,3,0,2,0,1,2,0,2,3,11,0,3,3,8,14,13,36,64,0.38,1.28
UEFA Nations League,1599331500,Sep 05 2020 - 6:45pm,complete,Telia Parken (KÃ¸benhavn),,Denmark,Belgium,Sandro SchÃ¤rer,1,0,0,1.67,2.5,0,2,2,1,0,1,,9;76,7,4,2,0,1,0,2,0,1,0,10,6,2,3,8,3,13,10,55,45,1.1,0.85
UEFA Nations League,1599331500,Sep 05 2020 - 6:45pm,complete,EstÃ¡dio Do DragÃ£o (Porto),,Portugal,Croatia,Davide Massa,1,0,0,2.17,0.5,4,1,5,1,1,0,41;58;70;90+4,90+1,8,4,0,0,2,0,0,0,0,2,15,4,8,2,7,2,11,8,60,40,2.01,0.63
UEFA Nations League,1599331500,Sep 05 2020 - 6:45pm,complete,Friends Arena (Solna),,Sweden,France,Szymon Marciniak,1,0,0,0.5,2.67,0,1,1,1,0,1,,41,5,5,1,0,1,0,0,1,1,0,10,3,5,0,5,3,13,8,51,49,1.24,0.57
UEFA Nations League,1599397200,Sep 06 2020 - 1:00pm,complete,Cardiff City Stadium (Cardiff (Caerdydd)),,Wales,Bulgaria,FÃ¡bio JosÃ© Costa VerÃ­ssimo,2,3,1,2.67,0.33,1,0,1,0,0,0,90+4,,5,1,2,0,1,0,0,2,1,0,5,4,3,0,2,4,16,12,51,49,0.87,0.46
UEFA Nations League,1599397200,Sep 06 2020 - 1:00pm,complete,Estadi Nacional (Andorra la Vella),,Andorra,Faroe Islands,Harald Lechner,2,1,3,0.33,2,0,1,1,1,0,1,,31,2,6,3,0,2,0,2,1,1,1,4,6,0,3,4,3,16,16,39,61,0.47,1
UEFA Nations League,1599408000,Sep 06 2020 - 4:00pm,complete,PuskÃ¡s ArÃ©na (Budapest),,Hungary,Russia,Maurizio Mariani,2,3,3,1.83,1.33,2,3,5,2,0,2,62;70,15;33;46,7,0,1,0,1,0,1,0,1,0,10,4,7,0,3,4,13,11,59,41,1.61,0.52
UEFA Nations League,1599408000,Sep 06 2020 - 4:00pm,complete,Aviva Stadium (Dublin),,Republic of Ireland,Finland,Fabio Maresca,2,1,0,0.5,2,0,1,1,0,0,0,,63,3,6,2,0,1,0,0,2,0,1,14,10,8,7,6,3,2,6,53,47,1.8,1.44
UEFA Nations League,1599408000,Sep 06 2020 - 4:00pm,complete,Stadion StoÅ¾ice (Ljubljana),,Slovenia,Moldova,JÃ©rÃ´me Brisard,2,1,1,2.33,0.17,1,0,1,1,1,0,28,,4,2,2,0,3,0,0,2,1,2,8,5,4,0,4,5,19,18,64,36,1.3,0.48
UEFA Nations League,1599417900,Sep 06 2020 - 6:45pm,complete,Estadio Alfredo Di StÃ©fano (Madrid),,Spain,Ukraine,BenoÃ®t Bastien,2,1,3,1.83,1,4,0,4,3,3,0,3;29;32;84,,9,2,1,0,2,0,1,0,0,2,18,5,7,3,11,2,15,7,72,28,2.18,0.62
UEFA Nations League,1599417900,Sep 06 2020 - 6:45pm,complete,St. Jakob-Park (Basel),,Switzerland,Germany,Michael Oliver,2,0,1,1,1.5,1,1,2,1,0,1,57,14,4,4,1,0,2,0,0,1,1,1,16,10,5,4,11,6,10,19,56,44,1.73,1.2
UEFA Nations League,1599417900,Sep 06 2020 - 6:45pm,complete,Stadion Rajko MitiÄ‡ (Beograd),,Serbia,Turkey,Aliaksei Kulbakov,2,0,0,1,1,0,0,0,0,0,0,,,6,3,3,1,2,0,1,3,1,1,6,13,2,6,4,7,16,15,48,52,0.75,1.61
UEFA Nations League,1599417900,Sep 06 2020 - 6:45pm,complete,Stadiumi Fadil Vokrri (PrishtinÃ« (Pristina)),,Kosovo,Greece,Pavel Kralovec,2,1,1,0.83,2,1,2,3,1,0,1,82,2;51,5,3,3,0,2,0,1,2,1,1,11,14,6,5,5,9,,,52,48,1.49,1.43
UEFA Nations League,1599417900,Sep 06 2020 - 6:45pm,complete,Ta'Qali National Stadium (Ta'Qali),,Malta,Latvia,StÃ©phanie Frappart,2,0,1,1.5,1.17,1,1,2,2,1,1,15,25,3,4,2,0,3,0,0,2,1,2,7,8,3,7,4,1,10,17,42,58,0.9,1.37
UEFA Nations League,1599487200,Sep 07 2020 - 2:00pm,complete,OrtalÄ±q Stadion (AlmatÄ± (Almaty)),,Kazakhstan,Belarus,Giorgi Kruashvili,2,3,0,0.67,1.67,1,2,3,0,0,0,61,53;86,2,5,3,0,1,0,2,1,0,1,7,13,0,5,7,8,17,10,43,57,0.77,1.62
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,Stadion Bilino Polje (Zenica),,Bosnia-Herzegovina,Poland,CÃ¼neyt Ã‡akÎ¹r,2,1,0,0.33,1.17,1,2,3,2,1,1,24,45;67,2,5,1,0,2,0,0,1,1,1,5,12,2,4,3,8,22,16,49,51,0.65,1.35
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,Johan Cruijff Arena (Amsterdam),,Netherlands,Italy,Felix Brych,2,3,1,1.83,2,0,1,1,1,0,1,,45+1,6,5,3,0,3,0,0,3,1,2,9,17,5,4,4,13,14,15,45,55,1.31,1.72
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,WÃ¶rthersee Stadion (Klagenfurt am WÃ¶rthersee),,Austria,Romania,Glenn Nyberg,2,3,1,2.17,1.33,2,3,5,2,1,1,17;80,3;51;69,8,4,0,0,3,0,0,0,0,3,12,6,4,2,8,4,14,18,62,38,1.54,0.76
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,Windsor Park (Belfast),,Northern Ireland,Norway,Bartosz Frankowski,2,1,0,0.33,1.67,1,5,6,4,1,3,6,2;7;19;47;58,4,0,2,0,1,0,1,1,0,1,5,7,2,3,3,4,9,13,51,49,0.74,0.83
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,AndrÅ¯v stadion (Olomouc),,Czech Republic,Scotland,Serdar GÃ¶zÃ¼bÃ¼yÃ¼k,2,3,1,2,1.67,1,2,3,2,1,1,11,27;52,8,0,2,0,4,0,0,2,0,4,16,4,4,3,12,1,16,15,57,43,1.61,0.64
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,Netanya Stadium (Netanya),,Israel,Slovakia,Nikola DabanoviÄ‡,2,1,0,1.33,0.67,1,1,2,1,0,1,90+1,14,7,2,2,0,1,0,0,2,0,1,15,7,5,3,10,4,14,16,71,29,1.95,0.78
UEFA Nations League,1599504300,Sep 07 2020 - 6:45pm,complete,Air Albania Stadium (TiranÃ« (Tirana)),,Albania,Lithuania,Sergiy Boyko,2,3,0,1.83,1.33,0,1,1,0,0,0,,50,6,3,2,1,3,0,2,1,1,2,10,9,2,5,8,4,,,49,51,1.1,1.19
UEFA Nations League,1599580800,Sep 08 2020 - 4:00pm,complete,Vazgen Sargsyan anvan Hanrapetakan Marzadasht (Yerevan),,Armenia,Estonia,David Coote,2,0,0,1.83,0.5,2,0,2,1,1,0,43;65,,4,1,3,0,0,0,1,2,0,0,9,7,5,3,4,4,9,9,49,51,1.24,0.87
UEFA Nations League,1599580800,Sep 08 2020 - 4:00pm,complete,Boris Paichadze Dinamo Arena (Tbilisi),,Georgia,North Macedonia,Peter KjÃ¦rsgaard-Andersen,2,3,3,1.17,1.5,1,1,2,2,1,1,13,33,5,2,3,0,3,1,1,2,1,3,10,0,5,0,5,0,16,16,55,45,1.35,0.19
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,Stade Roi Baudouin (Bruxelles (Brussel)),,Belgium,Iceland,PaweÅ‚ Raczkowski,2,3,0,2.5,0,5,1,6,3,2,1,13;17;50;69;79,10,7,3,0,0,1,0,0,0,1,0,10,6,4,3,6,3,6,6,67,33,1.61,0.73
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,Telia Parken (KÃ¸benhavn),,Denmark,England,Istvan Kovacs,2,0,3,1.67,1.67,0,0,0,0,0,0,,,4,6,1,0,0,0,0,1,0,0,11,5,4,3,7,2,11,17,49,51,1.27,0.8
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,Stade de France (Paris),,France,Croatia,Ovidiu HaÈ›egan,2,3,0,2.67,0.5,4,2,6,3,2,1,43;45+1;65;77,16;55,5,5,3,0,3,0,1,2,1,2,9,9,4,5,5,4,13,15,48,52,1.1,1.17
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,Friends Arena (Solna),,Sweden,Portugal,Danny Makkelie,2,0,3,0.5,2.17,0,2,2,1,0,1,,45;72,3,9,1,1,2,0,2,0,0,2,6,15,2,7,4,8,8,15,41,59,0.76,2.01
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,Neo GSP (NicosÃ­a (LevkosÃ­a)),,Cyprus,Azerbaijan,Filip Glova,2,0,0,0.67,1,0,1,1,1,0,1,,29,2,3,1,0,3,0,0,1,1,2,9,11,3,6,6,5,11,17,57,43,1.03,1.39
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,Stade Josy Barthel (LÃ«tzebuerg (Luxembourg)),,Luxembourg,Montenegro,Lawrence Visser,2,3,3,1.67,2.17,0,1,1,0,0,0,,90+2,4,2,5,1,2,0,3,3,0,2,18,9,8,5,10,4,16,14,59,41,2.07,1.07
UEFA Nations League,1599590700,Sep 08 2020 - 6:45pm,complete,,,San Marino,Liechtenstein,Enea Jorgji,2,0,0,0.5,1.25,0,2,2,2,0,2,,3;14,2,6,5,0,3,0,2,3,1,2,8,11,4,0,4,11,14,19,46,54,1,0.93
Friendly,1601517600,Oct 01 2020 - 2:00am,complete,Estadio Azteca (Ciudad de MÃ©xico (D.F.)),,Mexico,Guatemala,Fernando HernÃ¡ndez GÃ³mez,,0,0,2.6,1.33,3,0,3,3,3,0,6;28;36,,4,1,0,0,0,0,0,0,0,0,13,4,5,3,8,1,10,11,50,50,1.99,0.77
Friendly,1602032400,Oct 07 2020 - 1:00am,complete,Estadio Nacional de FÃºtbol (UNAN) (Managua),,Nicaragua,Guatemala,Nitzar Sandoval,,0,0,1,1.33,0,0,0,0,0,0,,,2,6,1,0,0,0,0,1,0,0,8,13,2,4,6,9,11,14,43,57,0.99,1.47
Friendly,1602075600,Oct 07 2020 - 1:00pm,complete,Nkoloma Stadium (Lusaka),,Zambia,Malawi,,,0,0,2.4,0.5,1,0,1,0,0,0,,,5,4,,,,,,,,,8,4,3,0,5,4,,,53,47,1.16,0.69
Friendly,1602086400,Oct 07 2020 - 4:00pm,complete,A. Le Coq Arena (Tallinn),,Estonia,Lithuania,Antti Munukka,,0,0,0,3,1,3,4,2,0,2,58,14;32;46,4,1,2,0,0,0,0,2,0,0,12,14,6,7,6,7,17,10,45,55,1.71,1.99
Friendly,1602086400,Oct 07 2020 - 4:00pm,complete,Stadion Pod Goricom (Podgorica),,Montenegro,Latvia,Admir Å ehoviÄ‡,,0,0,1,2,1,1,2,1,0,1,90+1,26,8,2,0,0,4,0,0,0,1,3,9,6,4,5,5,1,12,23,65,35,1.64,1.17
Friendly,1602086400,Oct 07 2020 - 4:00pm,complete,MCH Arena (Herning),,Denmark,Faroe Islands,Glenn Nyberg,,0,0,3,0,4,0,4,4,4,0,22;27;32;45,,14,4,1,0,3,0,0,1,1,2,25,6,11,3,14,3,9,12,68,32,2.8,0.93
Friendly,1602086400,Oct 07 2020 - 4:00pm,complete,Ta'Qali National Stadium (Ta'Qali),,Malta,Gibraltar,Nikola Popov,,0,0,3,0,2,0,2,1,1,0,8;90,,5,4,3,0,3,0,0,3,0,3,6,6,4,3,2,3,14,14,59,41,1.06,0.89
Friendly,1602086400,Oct 07 2020 - 4:00pm,complete,AEK Arena - George Karapatakis (LÃ¡rnaka (Larnaca) ),,Cyprus,Czech Republic,LÃ©once Lionel Tschudi,,0,0,0,1.5,1,2,3,3,1,2,32,13;43,3,9,0,0,0,0,0,0,0,0,4,15,2,6,2,9,9,17,37,63,0.64,2.11
Friendly,1602094500,Oct 07 2020 - 6:15pm,complete,Stade Josy Barthel (LÃ«tzebuerg (Luxembourg)),,Luxembourg,Liechtenstein,Alexandre Boucaut,,0,0,0,1.5,1,2,3,1,0,1,72,23;62,8,2,2,0,1,0,0,2,0,1,20,10,8,3,12,7,14,8,72,28,2.33,1.01
Friendly,1602095400,Oct 07 2020 - 6:30pm,complete,WÃ¶rthersee Stadion (Klagenfurt am WÃ¶rthersee),,Austria,Greece,Matej Jug,,0,0,3,1.5,2,1,3,0,0,0,77;80,63,13,5,2,0,3,0,1,1,1,2,16,5,5,2,11,3,12,7,59,41,2.03,0.8
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,Stadion Energa GdaÅ„sk (GdaÅ„sk),,Poland,Finland,Michal Ocenas,,0,0,3,1.5,5,1,6,3,3,0,9;18;38;53;87,68,3,8,0,0,0,0,0,0,0,0,18,7,12,6,6,1,11,13,52,48,2.45,1.27
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,Stadion StoÅ¾ice (Ljubljana),,Slovenia,San Marino,Sebastian Gishamer,,0,0,2,0,4,0,4,3,3,0,17;25;42;48,,10,1,0,0,0,0,0,0,0,0,20,3,11,0,9,3,14,12,73,27,2.91,0.44
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,RheinEnergieStadion (KÃ¶ln),,Germany,Turkey,BenoÃ®t Bastien,,0,0,2,1,3,3,6,1,1,0,45+1;58;81,49;67;90+4,3,2,3,0,1,0,2,1,0,1,15,10,8,7,7,3,14,10,61,39,1.96,1.41
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,Kybunpark (St. Gallen),,Switzerland,Croatia,Tiago Bruno Lopes Martins,,0,0,0,2,1,2,3,2,1,1,31,42;67,2,3,1,0,2,0,1,0,1,1,9,9,6,4,3,5,9,14,45,55,1.39,1.29
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,Stadio Artemio Franchi (Firenze),,Italy,Moldova,Daniel Siebert,,0,0,3,0.5,6,0,6,5,5,0,18;23;30;37;45+1;72,,9,1,0,0,2,0,0,0,1,1,20,6,11,2,9,4,11,13,69,31,2.41,0.62
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,Johan Cruijff Arena (Amsterdam),,Netherlands,Mexico,SrÄ‘an JovanoviÄ‡,,0,3,0.5,2.6,0,1,1,0,0,0,,60,2,0,3,0,3,0,0,3,0,3,7,9,4,4,3,5,17,19,50,50,1.07,1.07
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,EstÃ¡dio JosÃ© Alvalade (Lisboa),,Portugal,Spain,Paolo Valeri,,0,0,2,1,0,0,0,0,0,0,,,5,3,1,0,1,0,0,1,1,0,12,17,2,7,10,10,11,12,36,64,1.1,1.9
Friendly,1602096300,Oct 07 2020 - 6:45pm,complete,Estadi Nacional (Andorra la Vella),,Andorra,Cape Verde Islands,JosÃ© Luis Munuera Montero,,0,0,0,1.5,1,2,3,2,1,1,17,8;54,5,3,1,0,1,0,0,1,0,1,,,,,,,,,,,,
Friendly,1602097800,Oct 07 2020 - 7:10pm,complete,Stade de France (Saint-Denis),,France,Ukraine,Andris Treimanis,,0,0,1.5,0,7,1,8,4,4,0,9;24;33;39;65;82;89,53,8,1,0,0,3,0,0,0,1,2,20,9,9,6,11,3,6,10,58,42,2.21,1.21
Friendly,1602162000,Oct 08 2020 - 1:00pm,complete,Paxtakor Markaziy Stadion (Toshkent (Tashkent)),,Uzbekistan,Iran,Jasur Muxtarov,,1.5,0,1,3,1,2,3,1,0,1,53,44;51,3,3,1,0,1,0,0,1,0,1,9,10,3,6,6,4,14,22,56,44,1.12,1.34
Friendly,1602172800,Oct 08 2020 - 4:00pm,complete,Royal Bafokeng Stadium (Phokeng- NW),,South Africa,Namibia,Norman Matemera,,0,0,0.5,1,1,1,2,1,1,0,18,55,9,1,1,0,2,0,1,0,0,2,10,8,6,3,4,5,9,9,61,39,1.32,0.96
