Date,Track,Race Name,Race,Market,Selection_ID,TAB_Number,Runner_Name,RP,WIN_RESULT,WIN_BSP,PLACE_RESULT,PLACE_BSP,Value,,,
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,42099000,7,BITTA IRISH LUCK,29.59,0,9.25,0,3.4,-0.074312907,,,
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,42916342,4,BERRIESANDCHERRIES,17.83,0,6.78,1,2.35,-0.091407376,,,
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,47269853,11,BLUE COMAN,5.7,0,15.62,0,4.83,0.11141811,,,
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,54369098,6,TRIPOD,16.2,0,16.18,0,3.9,-7.63E-05,,,
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,56409283,10,GEE CEE CALDER,4.98,0,9.8,0,3.55,0.098762397,,,
1/01/2024,Echuca,R5 2530m Trot S,5,223041451,63572572,8,GRUMPEE,7.35,0,15.62,0,4.4,0.072033935,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,13310008,5,FEEL THE REIGN,7.9,1,3.86,1,1.84,-0.132485079,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,18986241,10,BRUISED EGO,15.32,0,38,0,7,0.038958362,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,28003434,11,CASTING SHADOW,24.43,0,200,0,19.5,0.035933279,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,40050391,1,PETREOS,9.55,0,5,1,1.94,-0.095287958,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,41420168,6,REPELLING,7.93,0,3.81,0,1.87,-0.136363787,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,51595437,4,EPIC ORION,8.71,0,25,0,4.6,0.074810563,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,56076971,2,CLASSICALLY SMOOTH,8.77,0,21.36,0,4.67,0.067208606,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,56357719,9,EDWARDE GRANGE,12.98,0,15.5,0,4.3,0.012525473,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,60529739,7,ORIONS WILDSIDE,9.76,0,11.71,1,3.08,0.01706192,,,
1/01/2024,Echuca,R6 1755m Pace M,6,223041453,64368291,8,COMMUNITY ART,7.81,0,45.66,0,9.22,0.106139966,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,27346102,1,WOTDIDUSAAAY,19.14,0,13.5,0,3.38,-0.02182747,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,37199512,6,DESSIE GEE,21.28,0,71.29,0,12.5,0.032965268,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,37832514,10,ULTIMATE VINNIE,10.35,0,4.4,1,1.78,-0.13065437,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,38677417,7,MAGNETIC TERROR,8.51,0,5.4,0,1.99,-0.067676372,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,42170471,9,ALL DA RAGE,11.66,0,28.41,0,6.2,0.05056442,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,48934494,4,JAXON BEACH,7.93,0,8.78,1,3.05,0.012208188,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,53449395,5,JACCKA CONNOR,8.5,0,28.23,0,5.6,0.08222375,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,64368292,2,JOHN MCLEAN,12.76,0,47.85,0,11,0.057471264,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,64368293,8,OUR VINCENT CAN GOGH,5.34,1,5.3,1,2.06,-0.001413328,,,
1/01/2024,Echuca,R7 2560m Pace M,7,223041455,64368294,11,TANGOINGWITHSIERRA,10.96,0,8.83,0,3.4,-0.022009407,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,6713759,7,STRONG RESPONSE,15.32,0,32,0,4.09,0.034024151,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,6915348,6,MADIGAN,3.79,1,2.96,1,1.27,-0.073985595,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,11782533,2,JOHN WAYNE,8.95,0,14,1,2.27,0.040303272,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,27259412,1,WHERES WOOD WOOD,14.24,0,110,0,11.5,0.06113381,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,28093433,8,MAJOR WATSON,19.83,0,19.53,0,2.92,-0.000774634,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,37705469,3,OUR CHEEKY DEVIL,13.49,0,116.87,0,10,0.065572469,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,45874979,5,MAAS BETTING AGAIN,11.14,0,40,0,4.9,0.064766607,,,
1/01/2024,Echuca,R8 2160m Pace M,8,223041457,64368295,4,SLICE OF CHEDDAR,3.64,0,2.38,1,1.21,-0.145442793,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,10779645,1,CRAFTY OLD FOX,20.66,0,124.1,0,8.67,0.040344693,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,25736864,9,ROSLYN GAYE,14.66,,,,,,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,28552798,2,ROCKYBOMBA,12.51,0,370,0,44,0.077233348,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,43653178,5,LILS NIGHTMARE,6.94,0,2.98,1,1.46,-0.191478251,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,47209368,10,OUR KINKY BOOTS,6.5,1,3.23,1,1.44,-0.155751369,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,58883557,8,HELLO I TEA,11.76,0,7.36,1,2.06,-0.050835552,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,60184020,7,HALF PRICE BRIDE,5.16,0,8,0,2,0.06879845,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,64368296,3,DIAMONDSNBLUE,6.77,0,15.93,0,3.1,0.084935848,,,
1/01/2024,Echuca,R9 1755m Pace M,9,223041459,64368297,4,STREETS OF MADRID,12.66,0,40,0,5,0.053988942,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,4423159,5,CALL ME SIR,11.55,0,95,0,,0.076053771,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,39326119,3,PABLOS ART,3.43,0,5.82,0,,0.119723884,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,50911215,8,FLEUR BELLA,17.41,0,80,0,,0.044938254,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,51151242,6,HARLEYS COMET,9.7,0,7.88,0,,-0.02381077,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,54378725,4,DELIGHT TO WATCH,16.97,0,17.65,0,,0.002270295,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,54867229,9,THE MISSING SOCK,18.38,0,7.8,0,,-0.073798164,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,56357717,7,CORBIE STUMBLER,9.98,1,3.31,1,,-0.201914403,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,58609669,2,LIKEABLE ROGUE,6.22,0,11.5,1,,0.073815182,,,
1/01/2024,Leeton,R1 1758m Pace M,1,223038538,64368178,1,SWEET DENIAL,11.45,0,16.5,1,,0.026730184,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,311610,2,BURTON,10.68,0,83.3,0,,0.081628157,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,36590699,5,TIGER LOU,12.19,0,170,0,,0.076152102,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,38629794,7,MASTER GOUDA,7.66,0,5.89,1,,-0.039230984,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,39388261,4,OH ONE JOB,16.3,,,,,,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,43185115,8,WEONA BRANACH,11.37,0,4.4,1,,-0.13932198,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,46260286,1,MEET ME AT THE BEACH,6.59,1,4.26,1,,-0.082996716,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,47472210,9,OUR REBEL YELL,4.54,0,3.45,0,,-0.069590755,,,
1/01/2024,Leeton,R2 1758m Pace M,2,223038540,53409810,3,BETTORS MOON,5.8,0,16.09,0,,0.110263389,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,856955,1,ROAD TO RECOVERY,9.75,0,7.4,1,,-0.032571033,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,3403908,7,BLACK ART,10.89,0,9.39,0,,-0.014668908,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,22598621,2,SMASH IT,7.19,0,3.45,1,,-0.150773014,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,28334551,3,SIGNOR JUJON,8.02,0,54.54,0,,0.106353112,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,36024140,10,POLKA DOT DANCE,10.84,0,12.82,0,,0.014247802,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,40040626,5,AGENT CALLAN,12.29,0,19.77,0,,0.030785276,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,40186662,11,THE CLOCK WINDER,11.52,1,21.65,1,,0.040616179,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,55831381,8,VILLAGE AREA,13.14,0,7.16,0,,-0.063561304,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,64368190,4,WESTERN RON,14.51,0,7.94,0,,-0.057026597,,,
1/01/2024,Leeton,R3 2147m Pace M,3,223038542,64368193,9,FREDEE TEE,7.33,0,6.6,0,,-0.015089503,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,4749711,10,ROCK THE NATION,20.03,0,83.64,0,,0.03796911,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,26721462,1,MASTER JUDE,18.89,0,120,0,,0.044604729,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,41663402,8,LOCH LOMOND,4.87,0,5.92,0,,0.03641989,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,44193621,11,EAGLES CROSSING,22.33,0,170,1,,0.03890045,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,47694366,9,IM HARVEY SPECTER,36.69,0,110,0,,0.018164474,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,50522443,6,SPECULATING,7.55,0,13.17,0,,0.056520187,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,60706314,2,SIR SONNY MAGUIRE,28.76,0,89.1,0,,0.02354717,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,61828103,3,REPETITIVE,11.54,0,80,1,,0.074155113,,,
1/01/2024,Leeton,R4 2147m Pace M,4,223038544,64368206,4,MAJOR THINKER,2.73,1,1.34,1,,-0.37996829,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,11094351,10,RUSTY CRACKERS,48.06,0,38.52,0,,-0.005153216,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,12930231,9,MISTERFREEZE,10.24,0,9,1,,-0.013454861,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,22862339,7,FOREVER YIN,21.97,0,296.76,1,,0.042146887,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,28339093,3,BROOKLYNS BEST,61.6,0,448.59,0,,0.014004559,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,40284873,8,SPORTY DANCER,31.72,0,36.51,0,,0.004136095,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,42576067,6,LOVE LOU LONGTIME,3.99,0,10.5,0,,0.155388471,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,42901513,1,JEKAMIAS,9.68,0,41.61,0,,0.079273101,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,45529983,4,ADMIRABLE,8.5,0,100,0,,0.107647059,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,50686141,2,SKITTLE BOMB,5.15,0,4.4,0,,-0.03309797,,,
1/01/2024,Leeton,R5 2582m Pace M,5,223038546,64368215,5,GLENLEDI ELVIS,8.19,1,1.88,1,,-0.409814772,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,2367325,9,SIX AGAIN,8.03,0,3.9,0,,-0.131877255,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,8064292,6,SCHIAVONE,12.9,,,,,,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,28223724,7,CAPITALLEE,48.71,0,290,0,,0.01708139,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,28286361,8,THE MOUNTAIN,9.95,0,4.61,1,,-0.116417227,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,40112137,3,MELODYS MISCHIEF,7.34,0,65.37,0,,0.120942245,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,41466714,1,SECURITY CHECK,15.94,1,47.36,1,,0.041620392,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,43694120,5,MIAMI SURF,6.1,0,46.23,1,,0.142303451,,,
1/01/2024,Leeton,R6 2147m Pace M,6,223038548,64368224,4,MY ULTIMATE KEVVIE,3.18,0,2.54,0,,-0.079235379,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,5594416,7,MOP,7.58,0,5.93,1,,-0.036707943,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,12576391,9,BLUES TERROR,19.15,1,35.79,1,,0.024278556,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,21597631,6,TIPPING POINT,8.27,0,6.6,0,,-0.030596167,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,27779010,2,FIFTYSHADESOFHAY,50.29,0,47.42,1,,-0.00120348,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,32830246,5,MILLYS PRINCE,8.84,0,7.92,0,,-0.013140454,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,38185208,8,SPECIAL MEANING,14.35,0,41.9,0,,0.045820063,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,42003662,1,ESTHER RISING,4.42,0,5.47,0,,0.043428987,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,43225160,3,PASS THE BATON,6.88,0,13.5,0,,0.071274763,,,
1/01/2024,Leeton,R7 1758m Pace M,7,223038550,46329072,4,GOLDEN REASON,8.29,0,4.41,0,,-0.106130108,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,24075026,3,SAX PLAYER,36.93,0,546.96,0,,0.025249969,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,40750081,2,THE EGG COUNTER,8.39,1,2.88,1,,-0.228032711,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,50759071,8,RAGING ON,20.56,0,58.99,0,,0.031686107,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,50911077,9,YOO TRISH,24.78,0,29,1,,0.005872366,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,57926480,1,SPORTY LOU,19.84,0,100.28,1,,0.040431148,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,57926498,6,ARIARNE,23.46,0,620,0,,0.041012843,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,64368233,4,TICK A LOCH,2.65,0,3.55,0,,0.09566835,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,64368234,5,LENNETH,4.85,0,6.12,0,,0.042786874,,,
1/01/2024,Leeton,R8 1758m Pace M,8,223038552,64368235,7,SOHO MATISSE,11.3,0,14,0,,0.017067004,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,13313868,1,PRETTY PENNY MAORI,7.32,,,,,,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,35421232,3,TOUCHANDGO,11.06,0,27,0,3.55,0.053378876,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,44941135,10,KYVALLEY ARCHER,9.14,1,19.17,1,4,0.057244349,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,44967299,4,ORPHAN ANDY,7.59,0,10,0,2.42,0.031752306,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,62394951,6,EARL PATRICK,11.06,0,18.16,0,3.8,0.035349834,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,64368300,5,MYSTERIOUS PRINCE,21.35,0,33.16,0,5.7,0.016681592,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,64368301,7,TE KUITI KITTY,4.58,0,2.24,1,1.34,-0.22808796,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,64368302,8,ALDEBARAN ANTON,12.35,0,17.88,1,3.15,0.025043248,,,
2/01/2024,Terang,R1 1680m Trot M,1,223077498,64368303,11,TRICKY DIAMOND,10.51,0,4.88,0,1.81,-0.109770554,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,28606555,7,BAYSIDE VICTORY,11.1,0,85,0,21.42,0.078325384,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,36685155,3,ARKLOW,12.11,0,7.69,0,3.1,-0.047462629,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,40432966,1,ZWICK,8.89,0,9.8,0,3.19,0.010445123,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,45541404,6,MAJOR ASSASSIN,4.3,0,2,1,1.57,-0.26744186,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,49118736,4,GOODTIME BRAVO,4.72,1,9.29,1,3.3,0.10422178,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,50142268,2,SIR FLOYD,38.26,0,270,0,130,0.022433254,,,
2/01/2024,Terang,R2 1680m Pace M,2,223077500,63825139,8,DEEBRAXTON,4.1,0,5.94,0,2.76,0.075552271,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,5902037,2,PARK LANE,8.54,0,30.99,0,6.8,0.084827545,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,38521799,9,TRIPLE ZED,20.93,0,28.46,0,5.4,0.012641274,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,49978547,6,HEZ ALL ROCK,19.49,0,21.7,0,4.76,0.005225414,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,52238346,7,YANKEE BOOT FLAT,11.69,0,20,1,4.5,0.035543199,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,56838834,4,MAVERICK STAR,16.51,0,11.5,0,2.66,-0.02638717,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,62394967,3,UNDERATTACK,12.14,0,8,1,2.12,-0.042627677,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,63335850,5,MUFASA BART,4.66,0,3.49,0,1.5,-0.071940677,,,
2/01/2024,Terang,R3 1680m Pace M,3,223077502,64368304,1,KEAYANG YUKON,2.93,1,3,1,1.47,0.007963595,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,24730139,2,MAJESTIC JEWEL,7.33,0,17.78,0,3.72,0.080182678,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,28091421,1,SURPRISE TO ME,11.96,0,42,0,4.31,0.059802516,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,35980924,4,BACARDI CHIC,10.61,0,11.65,0,2.36,0.008413797,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,36841133,3,SOUTHBOUND RED,11.41,0,135.14,0,15,0.080242685,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,38521790,8,PERSEVERANSE,18.01,0,132.08,0,13,0.04795354,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,38553623,5,JAHBELLA,5.67,0,1.98,1,1.31,-0.328683662,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,41575601,9,ALWAYS SKYE HIGH,29.83,1,30.52,1,4.9,0.000757899,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,46863052,7,UNSPOKEN LOVE,28.62,0,427.57,0,95,0.032601803,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,59650764,10,MAORI FRANKLIN,3.99,0,5.62,1,1.78,0.072690623,,,
2/01/2024,Terang,R4 1680m Trot M,4,223077504,60152537,6,DAISY BOUCHEA,21.13,0,9.64,0,2.6,-0.056408363,,,
2/01/2024,Terang,R5 2180m Pace M,5,223077506,13023696,5,SHADY DANCER,10.74,0,46.04,0,6.4,0.071389626,,,
2/01/2024,Terang,R5 2180m Pace M,5,223077506,27540167,3,SHE WILL WANTANO,10.07,0,7,0,1.99,-0.043552277,,,
2/01/2024,Terang,R5 2180m Pace M,5,223077506,35090171,6,AMORE ROCK,8.08,1,2.31,1,1.33,-0.309138057,,,
2/01/2024,Terang,R5 2180m Pace M,5,223077506,36241336,7,DREAMERS DELIGHT,7.84,0,8.4,1,2.16,0.008503401,,,
2/01/2024,Terang,R5 2180m Pace M,5,223077506,39867335,9,MAYWYNS JEWEL,42.74,0,170,0,25,0.017514933,,,
