Player,Number,Nation,Pos,Age,Minutes,Goals,Assists,Penalty_Goals,Penalty_Shots,Shots,ShotsOnTarget,CardsYellow,CardsRed,FoulsAgainst,FoulsFor,Offsides,Crosses,TacklesWon,Intercepts,OwnGoals,home,away,date,player_team
Christian Theoharous,7,au AUS,RM,25-063,45,0,0,0,0,2,1,0,0,0,1,0,0,3,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Miguel Di Pizio,23,au AUS,MF,19-034,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Nathan Paull,33,au AUS,LB,21-170,90,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Brian Kaltack,3,vu VAN,CB,31-130,90,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Trent Sainsbury,4,au AUS,CB,33-033,90,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Storm Roux,15,nz NZL,RB,32-025,74,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Sasha Kuzevski,27,au AUS,MF,23-317,16,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Dylan Peraic-Cullen,40,au AUS,GK,18-197,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Central Coast Mariners
Patrick Wood,23,au AUS,FW,22-144,74,0,0,0,0,1,0,1,0,3,0,1,0,2,1,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Nathanael Blair,14,au AUS,FW,20-329,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Adam Taggart,22,au AUS,FW,31-250,90,1,0,0,0,5,3,0,0,0,2,0,1,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
William Freney,27,au AUS,AM,19-095,68,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Nikola Mileusnic,10,au AUS,"FW,MF",31-205,22,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Taras Gomulka,12,au AUS,AM,23-144,90,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Lachlan Wales,18,au AUS,AM,27-111,68,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Joel Anasmo,31,,MF,,22,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Nicholas Pennington,7,au AUS,DM,26-051,90,0,0,0,0,2,0,0,0,2,1,0,1,3,1,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Anas Hamzaoui,3,be BEL,LB,28-208,84,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Yuto Misao,17,jp JPN,DF,33-297,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Tass Mourdoukoutas,4,au AUS,CB,25-341,90,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Tomislav Mrcela,29,au AUS,CB,34-129,90,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Trent Ostler,20,au AUS,RB,22-310,90,0,0,0,0,0,0,0,0,3,1,0,3,4,2,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Oliver Sail,1,nz NZL,GK,29-025,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Perth Glory,Central Coast Mariners,7/02/2025,Perth Glory
Zac Sapsford,7,au AUS,FW,22-176,76,2,0,0,0,7,5,0,0,0,1,2,3,1,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
James Temelkovski,27,au AUS,MF,26-288,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Brandon Borrello,26,au AUS,FW,29-198,65,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Marcus Antonsson,9,se SWE,FW,33-276,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Bozhidar Kraev,23,bg BUL,LM,27-230,89,0,0,0,0,2,1,0,0,0,1,0,0,2,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Aydan Hammond,21,au AUS,MF,21-047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Oscar Priestman,18,au AUS,CM,21-320,90,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Joshua Brillante,25,au AUS,CM,31-320,75,0,0,0,0,2,2,0,0,2,0,0,0,1,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Mohamed Al Taay,6,iq IRQ,MF,24-238,15,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Nicolas Milanovic,14,au AUS,RM,23-086,90,0,0,0,0,2,1,0,0,3,1,0,4,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Jack Clisby,19,au AUS,LB,32-358,90,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Alex Bonetig,4,au AUS,CB,22-172,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Anthony Pantazopoulos,22,au AUS,CB,21-292,90,0,0,0,0,3,1,0,0,1,0,0,0,1,3,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Gabriel Cleur,2,au AUS,RB,27-008,64,0,0,0,0,0,0,0,0,2,2,0,2,1,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Jarrod Carluccio,17,au AUS,FW,24-000,26,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Lawrence Thomas,20,au AUS,GK,32-275,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Western Sydney Wanderers
Patryk Klimala,9,pl POL,FW,26-187,90,1,0,0,0,1,1,0,0,4,1,0,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Anas Ouahim,8,de GER,AM,27-138,64,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Adrian Segecic,7,au AUS,MF,20-252,26,1,0,0,0,4,2,0,0,0,0,0,2,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Anthony Caceres,17,au AUS,AM,32-132,90,1,1,0,0,3,2,0,0,0,1,0,1,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Joe Lolley,10,eng ENG,AM,32-167,79,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Jaiden Kucharski,25,au AUS,DF,22-228,11,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Leo Sena,15,br BRA,DM,29-039,90,0,0,0,0,0,0,1,0,1,7,0,1,3,2,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Corey Hollman,6,au AUS,DM,21-136,90,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Jordan Courtney-Perkins,4,au AUS,LB,22-094,79,0,0,0,0,1,0,0,0,0,1,0,3,3,1,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Joel King,16,au AUS,DF,24-101,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Kyle Shaw,42,au AUS,CB,20-323,90,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Rhyan Grant,23,au AUS,CB,33-348,90,0,0,0,0,2,1,0,0,0,0,0,0,1,2,1,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Zac De Jesus,21,au AUS,RB,19-004,56,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Douglas Costa,11,br BRA,"FW,MF",34-147,34,0,1,0,0,2,1,0,0,0,0,0,12,1,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Harrison Devenish-Meares,12,au AUS,GK,28-104,90,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sydney FC,Western Sydney Wanderers,8/02/2025,Sydney FC
Florin Berenguer,10,fr FRA,FW,35-311,66,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Adam Zimarino,43,au AUS,MF,23-162,24,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Henry Hore,13,au AUS,FW,25-173,90,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Nathan Amanatidis,17,au AUS,LM,19-014,45,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Jacob Brazete,18,au AUS,FW,19-017,45,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Samuel Klein,24,au AUS,CM,,90,0,0,0,0,2,0,0,0,0,1,0,1,4,0,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
Jay OShea,26,ie IRL,CM,36-180,90,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,Wellington Phoenix,Brisbane Roar,6/02/2025,Brisbane Roar
